@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute class {Spot,NotSpot}

@data
3,7.212565,2.886164,1.97467,0.637576,0.856445,0.243917,-4.787679,-7.029498,182.116516,0.273917,3.915796,7.372016,2.719835,1.606741,1.31884,3,15,5.714286,5,17.571428,5.95632,-1.256245,0.476605,0.360996,0.035542,0.041005,-0.004082,-0.003708,0.001121,0.002311,-0.802059,0.89248,0.405375,0.150179,0.214311,0.127745,1,44,8.242424,5,66.814392,3.780903,-3.431662,-2.175417,0.076043,0.054439,0.03654,-0.000156,-0.000089,-0.000002,0,0,-0.167022,0.147567,0.026317,0.002568,0.0322,0.009708,0,44,6.29572,5,36.662209,Spot
5,8.651752,2.640399,2.52485,0.77427,0.53459,0.442422,2.920921,7.081737,-102.147224,-0.658721,5.013721,9.932491,3.514101,1.833966,1.483059,3,15,7.571429,5,25.285715,6.316612,-2.33514,0.623418,0.429851,0.137509,0.034198,-0.005175,-0.003958,-0.001114,0.001643,-1.190778,0.918245,0.467504,0.217742,0.255373,0.140662,1,44,9.181818,6,79.278412,3.662079,-4.989674,-2.654533,0.074853,0.057376,0.037397,-0.000495,-0.000106,-0.000001,0,0,-0.169626,0.188853,0.037732,0.00306,0.034661,0.010785,0,44,6.486382,5,38.25079,Spot
5,8.057742,3.473246,2.072171,0.108066,0.044771,0.854935,3.590719,-4.268871,-121.471947,1.293009,4.935147,11.361671,3.127167,1.928862,1.535142,1,13,5.857143,5,13.476191,6.15581,-1.901932,0.661253,0.408772,0.169367,0.010446,-0.002998,-0.00164,-0.002844,-0.000064,-1.239393,1.075305,0.729824,0.20219,0.288674,0.142743,1,44,9,6,81.875,3.494538,-4.563205,-2.661273,0.0714,0.055507,0.031396,-0.000764,-0.000106,-0.000001,0,0,-0.158303,0.228684,0.050269,0.003322,0.036301,0.011586,0,44,6.252918,4,39.78344,Spot
1,6.087683,3.643168,1.050229,0.366936,-0.290187,0.223369,-3.870297,2.24814,178.57782,2.959875,3.881839,10.436503,2.118812,1.877702,1.45582,1,6,3.142857,2,3.476191,5.431449,-0.656234,0.539719,0.335763,0.033951,-0.019705,-0.000002,0.001902,-0.001773,-0.001217,-0.909432,1.301347,1.068206,0.144712,0.307736,0.133742,0,19,6.484848,5,26.757576,3.287935,-2.799748,-2.143514,0.067564,0.050477,0.015702,-0.000927,-0.000087,0.000001,0,-0,-0.133743,0.256855,0.059823,0.003298,0.036681,0.011934,0,44,5.770428,4,42.247871,Spot
15,10.316824,4.329766,2.107179,0.688058,0.26154,-0.73194,0.082569,9.691895,-46.736778,-5.748887,4.915882,7.781803,5.407826,1.765587,1.4629,3,25,12.285714,14,58.904762,6.363909,-3.952915,0.586024,0.517797,0.146734,0.01211,-0.009837,-0.001103,0.002438,0.000655,-1.250556,0.82713,0.352711,0.195075,0.23574,0.143944,3,44,10.727273,8,81.954544,3.70931,-6.607513,-2.654598,0.075932,0.055821,0.039123,-0.000677,-0.000105,-0.000001,0,0,-0.170876,0.174146,0.033763,0.0028,0.034758,0.010057,0,44,6.2607,4,37.443489,Spot
14,13.158836,5.050552,3.666873,1.122877,0.747251,-0.293892,-3.065948,-21.693115,58.005199,-9.840302,5.014798,10.426757,5.924966,2.002661,1.659427,5,44,19.142857,14,188.476196,6.808876,-6.349961,0.760849,0.654026,0.361488,0.014465,-0.017293,-0.002563,0.002659,0.002391,-1.776363,0.702025,0.413186,0.251868,0.276797,0.158289,2,44,13.545455,11,99.255684,3.595906,-9.56293,-3.212969,0.074045,0.059982,0.038286,-0.000879,-0.000123,-0.000001,0.000001,0,-0.172313,0.206493,0.043485,0.003013,0.036315,0.010274,0,44,6.342412,5,39.319798,Spot
13,12.28827,3.769388,2.361081,0.294362,0.576495,0.778891,-1.345047,3.96562,29.270716,-6.424831,6.160023,13.460931,5.571326,2.093425,1.730144,2,28,13.571428,14,72.285713,6.626488,-5.661782,0.757275,0.621617,0.438888,0.008057,-0.01531,-0.0022,0.000083,0.001857,-1.81778,0.965393,0.764286,0.243477,0.307992,0.160739,1,44,13.69697,11,128.155304,3.43756,-8.85071,-3.188928,0.070571,0.060903,0.028352,-0.000966,-0.000121,-0,0.000001,0,-0.159825,0.236605,0.052971,0.003166,0.036833,0.01059,0,44,6.206226,5,40.2659,Spot
2,8.767832,2.820063,2.203617,0.246129,-0.240632,0.876039,2.700317,3.056254,-96.098717,-0.862575,6.049551,13.94101,4.134374,2.028574,1.647316,1,18,7.142857,3,45.809525,5.784119,-2.983713,0.598382,0.425232,0.315848,-0.003931,-0.006571,0.000015,-0.001791,-0.000758,-1.339462,1.364583,1.188076,0.187748,0.323337,0.150843,0,33,9.787879,6,84.484848,3.244739,-5.523092,-2.53938,0.067079,0.058239,0.009166,-0.000931,-0.000097,0,0,0,-0.134484,0.255075,0.058637,0.003165,0.036066,0.011039,0,44,5.712062,4,42.963642,Spot
25,10.91313,4.685487,3.495176,0.067537,-0.666648,-0.872311,4.470466,7.637654,-125.474762,-8.113126,4.755986,8.153081,4.759757,1.776138,1.506451,3,32,15.285714,15,105.238098,6.261846,-4.651284,0.61158,0.583239,0.131578,-0.0215,-0.010426,0.002301,0.00169,-0.001904,-1.326398,0.856083,0.426952,0.21196,0.25257,0.149998,1,44,10.939394,7,97.433716,3.582487,-7.330643,-2.679359,0.072975,0.053922,0.036787,-0.001205,-0.000104,0.000001,0,-0,-0.163683,0.212362,0.045836,0.003132,0.03795,0.010951,0,44,6.070039,4,38.284138,Spot
32,14.24428,7.103322,4.873883,1.939666,0.047781,-1.357041,-2.764928,13.068028,69.710327,-13.91687,3.574251,9.556506,6.72828,1.999402,1.723807,11,32,21.571428,22,56.285713,6.674747,-7.569533,0.776441,0.728437,0.353507,-0.011898,-0.020916,0.000976,0.004439,-0.000079,-1.858385,0.791856,0.556707,0.268125,0.291532,0.164719,1,44,14,11,98.5,3.473407,-10.770873,-3.20134,0.071128,0.057745,0.034252,-0.001241,-0.000119,0.000001,0.000001,-0,-0.163125,0.235437,0.053563,0.003266,0.03861,0.010997,0,44,6.116732,4,39.92382,Spot
